Winery,ABC #,Year,2022     BOY Inventory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals,Monthly Avg.,Months Left,Tasting Room EOY,Remaining Inventory,Year_1,Wine,BOY Inventory,Bottling
Pearmund,RWS,2021,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2021,Red wine Shiners,,
Pearmund,135371,2021,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,2021,Cab Sauv Reserve,,
Pearmund,133687,2021,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,2021,Ameritage ,,
Pearmund,168932, ,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,9th Mission,Black Ops,,
Pearmund,SPRKLG21,0,99,0,0,0,0,1,15,9,11,8,8,11,8,71,9,3,2,30,0,Sparkling,,
Effingham,101639,2017,,9,12,9,7,12,11,6,9,19,8,0,1,103,9,0,0,0,2017,Norton,,
Effingham,97511,2018,,9,22,15,23,24,22,16,17,23,19,14,0,204,19,0,2,2,2018,Chardonnay,,
Effingham,101638,2018,,5,9,15,12,12,9,9,17,23,20,14,19,164,14,6,10,80,2018,Merlot,,
Effingham,100465,2018,,12,22,27,27,36,24,17,19,4,0,0,0,188,21,0,0,0,2018,Meritage,,
Effingham,100643,2018,,16,23,33,20,23,23,0,0,0,0,0,0,138,23,0,0,0,2018,Kings Ransom,,
Effingham,116509,2018,,2,6,5,7,10,5,8,5,0,0,0,0,48,6,0,0,0,2018,Snort,,
Effingham,152192,2019,,7,1,1,0,0,0,0,0,0,0,0,0,9,2,0,0,0,2019,Cameo Rose (No Tax),,
Effingham,101636,2019,,8,16,15,19,0,0,0,0,0,0,0,0,58,15,0,0,0,2019,Viognier,,
Effingham,97511,2019,,0,13,34,12,2,2,2,0,2,2,6,21,96,8,39,15,314,2019,Chardonnay,,
Effingham,137525,2019,,8,13,15,8,0,0,0,0,0,0,0,0,44,11,0,1,1,2019,Celebration,,
Effingham,101638,2019,,0,17,30,10,2,2,0,4,8,0,0,2,75,6,40,0,247,2019,Merlot,,
Effingham,100465,2019,,7,5,15,0,0,0,0,0,14,21,24,30,116,10,45,11,435,2019,Meritage,,
Effingham,102768,2019,,12,28,60,25,27,20,13,20,26,19,10,31,291,24,3,9,78,2019,Tannat,,
Effingham,163411,2019,,2,7,8,2,0,0,0,0,0,0,0,0,19,5,0,0,0,2019,Cab Sauv,,
Effingham,163699,2019,,8,12,18,9,16,11,10,14,14,17,17,34,180,15,4,3,60,2019,Effingham Reserve,,
Effingham,100643,2019,,2,0,0,0,7,58,31,29,42,44,25,42,280,23,8,8,177,2019,Kings Ransom,,
Effingham,116509,2019,,0,0,0,0,0,0,0,0,0,0,0,57,57,57,1,6,53,2019,Snort,,
Effingham,100464,2020,,7,10,20,13,55,86,18,0,0,0,0,0,209,30,0,0,0,2020,Rose,,
Effingham,101636,2020,,0,0,0,7,17,21,15,22,60,34,13,23,212,18,11,11,191,2020,Viognier,,
Effingham,97511,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Chardonnay,,
Effingham,137525,2020,,1,0,0,30,26,36,23,11,37,29,16,19,228,19,1,15,22,2020,Celebration,,
Effingham,137525,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,Celebration 1.5L,,
Effingham,101638,2020,,4,3,0,0,0,0,0,9,47,14,11,0,88,7,27,0,196,2020,Merlot,,
Effingham,100465,2020,,9,1,0,0,0,0,0,1,0,1,2,54,68,6,33,1,205,2020,Meritage,,
Effingham,102768,2020,,7,0,0,0,3,0,0,1,0,0,1,0,12,1,407,0,407,2020,Tannat,,
Effingham,179590,2020,,17,10,0,9,2,8,4,10,63,16,14,7,160,13,9,8,120,2020,Petit Verdot,,
Effingham,163699,2020,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3504,1,292,2020,Reserve,,
Effingham,100643,2020,,12,3,0,0,0,1,4,1,0,0,4,0,25,2,286,2,595,2020,Kings Ransom,,
